route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
113-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166299,"The Pier Cairns Terminus",0,,1130017
113-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166300,"The Pier Cairns Terminus",0,,1130017
113-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166301,"The Pier Cairns Terminus",0,,1130017
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166383,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166384,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166385,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166386,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166387,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166388,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166389,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166390,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166391,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166392,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166393,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166394,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166395,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166396,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166397,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166398,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166399,"The Pier Cairns Terminus",0,,1200001
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166400,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166401,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166402,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166403,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166404,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166405,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166406,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166407,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166408,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166409,"Smithfield Shopping Centre",1,,1200010
120-423,CNS2014-CNS_MUL-Weekday-00,CNS2014-CNS_MUL-Weekday-00-4166410,"Smithfield Shopping Centre",1,,1200010
