stop_id,direction_id,min_start_time,max_end_time,mean_daily_num_vehicles,max_headway,mean_headway
750237,0,06:18:00,23:16:00,113.0,1140.0,434.0
750237,1,07:16:00,24:12:00,18.0,3600.0,3600.0
750238,0,06:20:00,23:17:00,113.0,1140.0,434.0
750238,1,,,0.0,,
750239,0,06:22:00,23:20:00,113.0,1140.0,434.0
750239,1,,,0.0,,
750240,0,06:24:00,23:21:00,113.0,1140.0,434.0
750240,1,,,0.0,,
750241,0,06:26:00,23:23:00,113.0,1020.0,435.0
750241,1,,,0.0,,
750242,0,06:27:00,23:42:00,131.0,1080.0,386.0
750242,1,,,0.0,,
750243,0,06:28:00,23:25:00,113.0,1140.0,434.0
750243,1,,,0.0,,
750244,0,06:29:00,23:26:00,113.0,1140.0,434.0
750244,1,,,0.0,,
750245,0,06:32:00,23:29:00,113.0,1140.0,439.0
750245,1,,,0.0,,
750246,0,,,0.0,,
750246,1,06:28:00,28:16:00,109.0,1800.0,452.0
750247,0,,,0.0,,
750247,1,06:30:00,28:18:00,109.0,1800.0,452.0
750248,0,,,0.0,,
750248,1,06:31:00,28:18:00,109.0,1800.0,452.0
750249,0,,,0.0,,
750249,1,06:33:00,28:19:00,109.0,1800.0,452.0
750250,0,,,0.0,,
750250,1,06:51:00,23:47:00,68.0,1620.0,735.0
750251,0,,,0.0,,
750251,1,06:36:00,28:21:00,109.0,1620.0,461.0
750252,0,,,0.0,,
750252,1,06:37:00,28:21:00,109.0,1620.0,461.0
750253,0,,,0.0,,
750253,1,06:38:00,28:22:00,109.0,1620.0,461.0
750254,0,,,0.0,,
750254,1,06:40:00,28:23:00,109.0,1680.0,461.0
750255,0,,,0.0,,
750255,1,06:41:00,28:23:00,127.0,900.0,396.0
750256,0,,,0.0,,
750256,1,07:09:00,22:39:00,28.0,1800.0,1800.0
750257,0,,,0.0,,
750257,1,07:13:00,22:41:00,28.0,1800.0,1795.0
750258,0,,,0.0,,
750258,1,07:13:00,22:41:00,28.0,1800.0,1795.0
750259,0,,,0.0,,
750259,1,07:16:00,22:44:00,28.0,1800.0,1795.0
750260,0,06:55:00,22:19:00,28.0,1800.0,1800.0
750260,1,,,0.0,,
750261,0,06:56:00,22:19:00,28.0,1800.0,1800.0
750261,1,,,0.0,,
750262,0,06:59:00,22:22:00,28.0,1800.0,1800.0
750262,1,,,0.0,,
750263,0,06:59:00,22:23:00,28.0,1800.0,1800.0
750263,1,,,0.0,,
750264,0,07:01:00,22:24:00,28.0,1800.0,1800.0
750264,1,,,0.0,,
750265,0,07:02:00,22:26:00,28.0,1800.0,1800.0
750265,1,,,0.0,,
750266,0,07:04:00,22:27:00,28.0,1800.0,1800.0
750266,1,,,0.0,,
750267,0,,,0.0,,
750267,1,06:46:00,23:36:00,76.0,1500.0,592.0
750268,0,,,0.0,,
750268,1,06:49:00,23:38:00,76.0,1440.0,591.0
750269,0,06:38:00,22:08:00,29.0,1800.0,1800.0
750269,1,,,0.0,,
750270,0,06:41:00,22:10:00,29.0,1800.0,1800.0
750270,1,,,0.0,,
750271,0,06:44:00,22:13:00,29.0,1800.0,1800.0
750271,1,,,0.0,,
750272,0,06:45:00,22:14:00,29.0,1800.0,1800.0
750272,1,,,0.0,,
750273,0,06:46:00,22:15:00,29.0,1800.0,1800.0
750273,1,,,0.0,,
750274,0,06:48:00,22:16:00,29.0,1800.0,1800.0
750274,1,,,0.0,,
750275,0,06:49:00,22:16:00,29.0,1800.0,1800.0
750275,1,,,0.0,,
750276,0,,,0.0,,
750276,1,07:59:00,22:14:00,21.0,3600.0,2363.0
750277,0,,,0.0,,
750277,1,08:00:00,22:15:00,21.0,3600.0,2363.0
750278,0,,,0.0,,
750278,1,08:01:00,22:16:00,21.0,3600.0,2363.0
750279,0,,,0.0,,
750279,1,08:02:00,22:17:00,21.0,3600.0,2363.0
750280,0,06:06:00,23:05:00,60.0,2340.0,891.0
750280,1,06:56:00,23:44:00,57.0,2100.0,858.0
750281,0,06:35:00,19:50:00,21.0,3600.0,2329.0
750281,1,,,0.0,,
750282,0,06:37:00,19:52:00,21.0,3600.0,2329.0
750282,1,,,0.0,,
750283,0,06:38:00,19:53:00,21.0,3600.0,2329.0
750283,1,,,0.0,,
750284,0,06:40:00,19:55:00,21.0,3600.0,2329.0
750284,1,,,0.0,,
750285,0,06:42:00,19:57:00,21.0,3600.0,2329.0
750285,1,,,0.0,,
750286,0,06:44:00,19:59:00,21.0,3600.0,2329.0
750286,1,,,0.0,,
750287,0,06:51:00,20:06:00,21.0,3600.0,2329.0
750287,1,,,0.0,,
750288,0,06:52:00,20:07:00,21.0,3600.0,2329.0
750288,1,,,0.0,,
750289,0,06:54:00,20:09:00,21.0,3600.0,2329.0
750289,1,,,0.0,,
750290,0,06:54:00,20:09:00,21.0,3600.0,2329.0
750290,1,,,0.0,,
750291,0,06:34:00,22:05:00,29.0,1800.0,1800.0
750291,1,07:30:00,23:45:00,51.0,1800.0,1010.0
750292,0,,,0.0,,
750292,1,07:48:00,23:46:00,23.0,3600.0,2322.0
750293,0,,,0.0,,
750293,1,07:49:00,23:47:00,23.0,3600.0,2322.0
750294,0,,,0.0,,
750294,1,07:01:00,23:48:00,36.0,3360.0,1414.0
750295,0,,,0.0,,
750295,1,07:51:00,23:49:00,23.0,3600.0,2322.0
750296,0,,,0.0,,
750296,1,07:54:00,23:52:00,23.0,3600.0,2322.0
750297,0,,,0.0,,
750297,1,07:56:00,23:54:00,23.0,3600.0,2322.0
750298,0,,,0.0,,
750298,1,07:57:00,23:55:00,23.0,3600.0,2322.0
750299,0,05:53:00,22:53:00,25.0,3600.0,2435.0
750299,1,,,0.0,,
750300,0,06:31:00,19:46:00,21.0,3600.0,2329.0
750300,1,08:21:00,22:36:00,21.0,3600.0,2363.0
750301,0,,,0.0,,
750301,1,07:59:00,23:57:00,23.0,3600.0,2322.0
750302,0,,,0.0,,
750302,1,08:00:00,23:57:00,23.0,3600.0,2319.0
750303,0,,,0.0,,
750303,1,08:01:00,23:58:00,23.0,3600.0,2319.0
750304,0,,,0.0,,
750304,1,07:07:00,24:00:00,36.0,3360.0,1426.0
750305,0,05:48:00,22:48:00,39.0,3540.0,1382.0
750305,1,,,0.0,,
750306,0,05:49:00,22:49:00,25.0,3600.0,2435.0
750306,1,,,0.0,,
750307,0,05:50:00,22:50:00,25.0,3600.0,2435.0
750307,1,,,0.0,,
750308,0,05:52:00,22:52:00,25.0,3600.0,2435.0
750308,1,,,0.0,,
750309,0,05:43:00,22:43:00,25.0,3600.0,2435.0
750309,1,,,0.0,,
750310,0,05:44:00,22:44:00,25.0,3600.0,2435.0
750310,1,,,0.0,,
750311,0,05:45:00,22:45:00,25.0,3600.0,2435.0
750311,1,,,0.0,,
750312,0,,,0.0,,
750312,1,07:17:00,22:13:00,17.0,3600.0,3300.0
750313,0,,,0.0,,
750313,1,07:18:00,22:14:00,17.0,3600.0,3300.0
750314,0,06:40:00,22:34:00,18.0,3600.0,3300.0
750314,1,07:19:00,22:15:00,17.0,3600.0,3300.0
750315,0,,,0.0,,
750315,1,07:20:00,22:16:00,17.0,3600.0,3300.0
